iter	Passed	Remaining
176	457	2126
177	458	2118
178	459	2109
179	461	2101
180	464	2103
181	466	2096
182	467	2087
183	468	2079
184	470	2071
185	471	2063
186	472	2055
187	473	2047
188	475	2038
189	476	2031
190	478	2027
191	480	2020
192	481	2012
193	482	2004
194	483	1997
195	485	1989
196	486	1982
197	487	1974
198	488	1966
199	489	1959
200	491	1952
201	492	1947
202	496	1949
203	499	1947
204	500	1941
205	502	1936
206	503	1929
207	504	1922
208	506	1915
209	509	1916
210	510	1910
211	512	1904
212	513	1897
213	514	1891
214	516	1884
215	517	1877
216	518	1871
217	519	1864
218	520	1857
219	522	1851
220	523	1845
221	524	1839
222	526	1833
223	527	1828
224	529	1823
225	530	1817
226	532	1811
227	533	1806
228	534	1800
229	536	1794
230	537	1789
231	539	1784
232	540	1779
233	541	1773
234	542	1767
235	544	1761
236	545	1756
237	546	1750
238	547	1744
239	549	1739
240	550	1733
241	551	1727
242	554	1727
243	555	1722
244	557	1716
245	558	1711
246	559	1705
247	560	1700
248	561	1694
249	563	1689
250	564	1683
251	565	1678
252	566	1673
253	568	1670
254	570	1665
255	571	1660
256	572	1655
257	573	1650
258	574	1644
259	576	1639
260	577	1634
261	578	1629
262	579	1624
263	580	1619
264	584	1621
265	586	1617
266	587	1613
267	588	1608
268	590	1604
269	591	1599
270	592	1595
271	594	1590
272	595	1585
273	596	1581
274	598	1577
275	599	1572
276	600	1567
277	602	1563
278	603	1559
279	604	1554
280	605	1550
281	606	1545
282	608	1540
283	609	1536
284	610	1531
285	612	1528
286	613	1524
287	614	1519
288	615	1515
289	617	1510
290	618	1506
291	619	1501
292	620	1496
293	621	1492
294	622	1488
295	624	1484
296	625	1481
297	627	1477
298	628	1473
299	629	1469
300	631	1465
301	632	1461
302	633	1457
303	635	1453
304	636	1450
305	637	1446
306	638	1441
307	640	1438
308	641	1434
309	642	1430
310	644	1426
311	645	1422
312	646	1418
313	647	1414
314	648	1410
315	650	1407
316	651	1404
317	653	1400
318	654	1397
319	655	1393
320	657	1390
321	658	1386
322	659	1382
323	660	1378
324	661	1374
325	663	1370
326	664	1367
327	665	1363
328	666	1359
329	667	1355
330	671	1357
331	672	1353
332	673	1349
333	675	1345
334	676	1342
335	677	1338
336	678	1335
337	680	1332
338	681	1328
339	682	1325
340	684	1322
341	685	1318
342	686	1315
343	687	1311
344	689	1308
345	690	1304
346	691	1301
347	692	1297
348	693	1293
349	694	1290
350	695	1286
351	696	1282
352	698	1280
353	701	1279
354	702	1276
355	703	1272
356	704	1269
357	706	1266
358	707	1263
359	708	1260
360	710	1257
361	711	1253
362	712	1250
363	714	1248
364	716	1245
365	717	1243
366	719	1240
367	720	1237
368	721	1233
369	722	1230
370	724	1227
371	725	1224
372	726	1221
373	727	1218
374	730	1217
375	731	1214
376	733	1211
377	734	1208
378	736	1206
379	737	1202
380	738	1199
381	739	1196
382	740	1193
383	741	1189
384	742	1186
385	744	1184
386	746	1181
387	747	1178
388	748	1175
389	749	1172
390	750	1169
391	751	1166
392	753	1163
393	754	1159
394	755	1156
395	756	1153
396	757	1150
397	759	1148
398	760	1146
399	762	1143
400	763	1140
401	764	1137
402	765	1134
403	767	1131
404	768	1128
405	769	1125
406	770	1122
407	771	1119
408	773	1117
409	775	1115
410	776	1113
411	778	1110
412	779	1108
413	780	1105
414	781	1102
415	783	1099
416	784	1096
417	785	1093
418	786	1090
419	787	1087
420	791	1089
421	793	1086
422	794	1084
423	796	1081
424	797	1079
425	798	1076
426	800	1073
427	801	1070
428	803	1068
429	804	1066
430	805	1063
431	807	1061
432	808	1058
433	809	1056
434	811	1053
435	812	1051
436	813	1048
437	815	1045
438	816	1043
439	817	1040
440	824	1044
441	825	1042
442	826	1039
443	827	1036
444	829	1034
445	830	1031
446	831	1029
447	833	1027
448	834	1024
449	836	1022
450	837	1019
451	839	1017
452	840	1014
453	841	1012
454	842	1009
